id_protein,protein_name,protein_multidata_id
0,CXCL1_HUMAN,0
1,CXCL2_HUMAN,1
2,CXCL3_HUMAN,2
3,CXCL5_HUMAN,3
4,PPBP_HUMAN,4
5,CXCL6_HUMAN,5
6,CXCL8_HUMAN,6
7,CXCL9_HUMAN,7
8,CXCL10_HUMAN,8
9,CXCL11_HUMAN,9
10,CXCL12_HUMAN,10
11,CXCL13_HUMAN,11
12,CXCL16_HUMAN,12
13,XCL1_HUMAN,13
14,XCL2_HUMAN,14
15,CX3CL1_HUMAN,15
16,CCL20_HUMAN,16
17,CCL25_HUMAN,17
18,CCL17_HUMAN,18
19,CCL22_HUMAN,19
20,CCL19_HUMAN,20
21,CCL21_HUMAN,21
22,CCL2_HUMAN,22
23,CCL4L1_HUMAN,23
24,CCL3L3_HUMAN,24
25,CCL13_HUMAN,25
26,CCL7_HUMAN,26
27,CCL5_HUMAN,27
28,CCL14_HUMAN,28
29,CCL16_HUMAN,29
30,CCL23_HUMAN,30
31,CCL15_HUMAN,31
32,CCL8_HUMAN,32
33,CCL11_HUMAN,33
34,CCL24_HUMAN,34
35,CCL26_HUMAN,35
36,CCL28_HUMAN,36
37,CCL27_HUMAN,37
38,IL6_HUMAN,38
39,IL11_HUMAN,39
40,OSM_HUMAN,40
41,LIF_HUMAN,41
42,CNTF_HUMAN,42
43,CLCF1_HUMAN,43
44,CTF1_HUMAN,44
45,CSF3_HUMAN,45
46,LEP_HUMAN,46
47,IL4_HUMAN,47
48,IL13_HUMAN,48
49,IL12A_HUMAN,49
50,IL23A_HUMAN,50
51,CSF2_HUMAN,51
52,IL3_HUMAN,52
53,IL5_HUMAN,53
54,IL2_HUMAN,54
55,IL7_HUMAN,55
56,IL9_HUMAN,56
57,IL15_HUMAN,57
58,IL21_HUMAN,58
59,TSLP_HUMAN,59
60,EPO_HUMAN,60
61,GH1_HUMAN,61
62,GH2_HUMAN,62
63,PRL_HUMAN,63
64,THPO_HUMAN,64
65,PDGFC_HUMAN,65
66,PDGFA_HUMAN,66
67,PDGFB_HUMAN,67
68,PLEKHO2_HUMAN,68
69,VEGFB_HUMAN,69
70,VEGFA_HUMAN,70
71,VEGFD_HUMAN,71
72,HGF_HUMAN,72
73,EGF_HUMAN,73
74,CSF1_HUMAN,74
75,KITLG_HUMAN,75
76,FLT3LG_HUMAN,76
77,IFNA1_HUMAN,77
78,IFNB1_HUMAN,78
79,IFNW1_HUMAN,79
80,IFNK_HUMAN,80
81,IFNE_HUMAN,81
82,IFNG_HUMAN,82
83,IL10_HUMAN,83
84,IL19_HUMAN,84
85,IL20_HUMAN,85
86,IL24_HUMAN,86
87,IL22_HUMAN,87
88,IFNL2_HUMAN,88
89,IFNL3_HUMAN,89
90,IFNL1_HUMAN,90
91,TNFSF10_HUMAN,91
92,TNFSF11_HUMAN,92
93,TNFSF12_HUMAN,93
94,TNF_HUMAN,94
95,LTA_HUMAN,95
96,LTB_HUMAN,96
97,TNFSF14_HUMAN,97
98,FASLG_HUMAN,98
99,CD40LG_HUMAN,99
100,CD70_HUMAN,100
101,TNFSF8_HUMAN,101
102,TNFSF9_HUMAN,102
103,TNFSF4_HUMAN,103
104,TNFSF18_HUMAN,104
105,TNFSF13_HUMAN,105
106,TNFSF13B_HUMAN,106
107,EDA_HUMAN,107
108,TGFB1_HUMAN,108
109,TGFB2_HUMAN,109
110,TGFB3_HUMAN,110
111,INHBA_HUMAN,111
112,INHBB_HUMAN,112
113,INHBC_HUMAN,113
114,INHBE_HUMAN,114
115,AMH_HUMAN,115
116,BMP2_HUMAN,116
117,BMP7_HUMAN,117
118,GDF5_HUMAN,118
119,IL1A_HUMAN,119
120,IL1B_HUMAN,120
121,IL18_HUMAN,121
122,CCL1_HUMAN,122
123,IL25_HUMAN,123
124,IL17A_HUMAN,124
125,IL17F_HUMAN,125
126,IL17C_HUMAN,126
127,IL17B_HUMAN,127
128,CD58_HUMAN,128
129,CD80_HUMAN,129
130,CD86_HUMAN,130
131,HLA-DMA_HUMAN,131
132,HLA-A_HUMAN,132
133,CD274_HUMAN,133
134,PDCD1LG2_HUMAN,134
135,ITGB2_HUMAN,135
136,ITGAL_HUMAN,136
137,ICAM1_HUMAN,137
138,CD28_HUMAN,138
139,ITGAM_HUMAN,139
140,ITGB1_HUMAN,140
141,ITGA4_HUMAN,141
142,ITGA9_HUMAN,142
143,SELPLG_HUMAN,143
144,PECAM1_HUMAN,144
145,PVR_HUMAN,145
146,NECTIN2_HUMAN,146
147,CDH2_HUMAN,147
148,NRXN3_HUMAN,148
149,CNTN1_HUMAN,149
150,NCAM1_HUMAN,150
151,L1CAM_HUMAN,151
152,NECTIN1_HUMAN,152
153,CDH1_HUMAN,153
154,CDH4_HUMAN,154
155,ALCAM_HUMAN,155
156,PTPRC_HUMAN,156
157,CD40_HUMAN,157
158,CLDN24_HUMAN,158
159,OCLN_HUMAN,159
160,F11R_HUMAN,160
161,JAM2_HUMAN,161
162,JAM3_HUMAN,162
163,ESAM_HUMAN,163
164,CDH5_HUMAN,164
165,CD99_HUMAN,165
166,SELP_HUMAN,166
167,ICAM2_HUMAN,167
168,ICAM3_HUMAN,168
169,VCAM1_HUMAN,169
170,MADCAM1_HUMAN,170
171,SELL_HUMAN,171
172,CD34_HUMAN,172
173,SELE_HUMAN,173
174,NECTIN3_HUMAN,174
175,CADM1_HUMAN,175
176,NEGR1_HUMAN,176
177,CADM3_HUMAN,177
178,PTPRM_HUMAN,178
179,CNTN2_HUMAN,179
180,NFASC_HUMAN,180
181,MPZ_HUMAN,181
182,MAG_HUMAN,182
183,CLDN11_HUMAN,183
184,CDH3_HUMAN,184
185,CDH15_HUMAN,185
186,LRRC4C_HUMAN,186
187,LRRC4_HUMAN,187
188,LRRC4B_HUMAN,188
189,CTSG_HUMAN,189
190,CGA_HUMAN,190
191,CSH1_HUMAN,191
192,COL1A1_HUMAN,192
193,LAMC3_HUMAN,193
194,CHAD_HUMAN,194
195,RELN_HUMAN,195
196,COMP_HUMAN,196
197,FN1_HUMAN,197
198,SPP1_HUMAN,198
199,VTN_HUMAN,199
200,TNC_HUMAN,200
201,VWF_HUMAN,201
202,IBSP_HUMAN,202
203,AGRN_HUMAN,203
204,HSPG2_HUMAN,204
205,C3_HUMAN,205
206,ADM2_HUMAN,206
207,CALCB_HUMAN,207
208,IAPP_HUMAN,208
209,CALCA_HUMAN,209
210,ADM_HUMAN,210
211,CORT_HUMAN,211
212,SST_HUMAN,212
213,RSPO1_HUMAN,213
214,RSPO4_HUMAN,214
215,RSPO3_HUMAN,215
216,RSPO2_HUMAN,216
217,CALM1_HUMAN,217
218,CALM3_HUMAN,218
219,CALM2_HUMAN,219
220,INSL3_HUMAN,220
221,RLN1_HUMAN,221
222,RLN2_HUMAN,222
223,RLN3_HUMAN,223
224,INSL5_HUMAN,224
